Round_ID;Works_Order_No;Yard_Location;HSM_LPST;HSM_PSD;SO_Due_Date;Sales_Ord_No;Prod_Grp;Slab_Grade;Customer_Name;Sort_Grade;Slab_Weight;Expedite_Level;CULPST;Round_Type;Flow;Furnace_Group;Internal_Order;Galv_Options;SelectionCost
HMC;0001056352;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680020;CRFH;32AB7;New Millennium Building Systems, LLC;7;21803;;7/14/2018;Light Regular;CRFH;;;;1.4906
HM-ALL;0001056354;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;20968;;7/22/2018;Light Regular;CRFH;;;;1.9166
HMC;0001056357;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680020;CRFH;32AB7;New Millennium Building Systems, LLC;7;21644;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056358;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680020;CRFH;32AB7;New Millennium Building Systems, LLC;7;21672;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056361;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680020;CRFH;32AB7;New Millennium Building Systems, LLC;7;21675;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056362;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680020;CRFH;32AB7;New Millennium Building Systems, LLC;7;21658;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056367;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680020;CRFH;32AB7;New Millennium Building Systems, LLC;7;21694;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056370;InnerBay;7/6/2018;7/6/2018;7/16/2018;1557680020;CRFH;32AB7;New Millennium Building Systems, LLC;7;21600;;7/14/2018;Light Regular;CRFH;;;;1.4906
HMC;0001056372;InnerBay;7/16/2018;7/16/2018;7/30/2018;1549760010;GI;32AB7;Coilplus Mexicana SA de CV;4;21626;;7/29/2018;Intermediate Regular;GI_3;;;13;2.0241
HMC;0001056374;InnerBay;7/16/2018;7/16/2018;7/30/2018;1549770010;GI;32AB7;Coilplus Mexicana SA de CV;4;21553;;7/29/2018;Intermediate Regular;GI_3;;;13;2.0241
HM-ALL;0001056382;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21547;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056385;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21642;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056387;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21605;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056391;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21419;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056393;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21569;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056398;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21550;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056399;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21546;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056412;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21820;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056414;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21770;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056416;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21679;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056418;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21900;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056420;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21900;;7/22/2018;Light Regular;CRFH;;;;1.9166
